event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-showcase-2025-08-16,MTGO Showcase (2025-08-16),Showcase,Showcase,mtgo,online,2025-08-16,2025,8,29
online-challenge-2025-08-15,MTGO Challenge (2025-08-15),Challenge,Challenge,mtgo,online,2025-08-15,2025,8,53
online-challenge-2025-08-10,MTGO Challenge (2025-08-10),Challenge,Challenge,mtgo,online,2025-08-10,2025,8,67
online-challenge-2025-08-09,MTGO Challenge (2025-08-09),Challenge,Challenge,mtgo,online,2025-08-09,2025,8,39
online-challenge-2025-08-08,MTGO Challenge (2025-08-08),Challenge,Challenge,mtgo,online,2025-08-08,2025,8,61
online-challenge-2025-08-03,MTGO Challenge (2025-08-03),Challenge,Challenge,mtgo,online,2025-08-03,2025,8,87
online-challenge-2025-08-02,MTGO Challenge (2025-08-02),Challenge,Challenge,mtgo,online,2025-08-02,2025,8,44
online-showcase-2025-08-02,MTGO Showcase (2025-08-02),Showcase,Showcase,mtgo,online,2025-08-02,2025,8,292
online-challenge-2025-08-01,MTGO Challenge (2025-08-01),Challenge,Challenge,mtgo,online,2025-08-01,2025,8,65
online-challenge-2025-07-27,MTGO Challenge (2025-07-27),Challenge,Challenge,mtgo,online,2025-07-27,2025,7,68
online-challenge-2025-07-26,MTGO Challenge (2025-07-26),Challenge,Challenge,mtgo,online,2025-07-26,2025,7,54
online-challenge-2025-07-25,MTGO Challenge (2025-07-25),Challenge,Challenge,mtgo,online,2025-07-25,2025,7,58
online-challenge-2025-07-20,MTGO Challenge (2025-07-20),Challenge,Challenge,mtgo,online,2025-07-20,2025,7,75
online-challenge-2025-07-19,MTGO Challenge (2025-07-19),Challenge,Challenge,mtgo,online,2025-07-19,2025,7,56
online-challenge-2025-07-18,MTGO Challenge (2025-07-18),Challenge,Challenge,mtgo,online,2025-07-18,2025,7,58
online-challenge-2025-07-13,MTGO Challenge (2025-07-13),Challenge,Challenge,mtgo,online,2025-07-13,2025,7,53
online-super-2025-07-13,MTGO Super (2025-07-13),Super,Super,mtgo,online,2025-07-13,2025,7,281
